1,Silver,84.5930,XAG,2026-03-08 13:44:33+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
2,Gold,5174.0000,XAU,2026-03-08 13:44:33+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
3,Bitcoin,67063.1016,BTC,2026-03-08 13:44:34+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
4,Ethereum,1934.6700,ETH,2026-03-08 13:44:35+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
5,Palladium,1651.0000,XPD,2026-03-08 13:44:36+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
6,Copper,5.7961,HG,2026-03-08 13:44:36+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
7,Platinum,2155.0000,XPT,2026-03-08 13:44:37+00,a few seconds ago,2026-03-09 12:56:32.781314+00,8ffcbae6-682f-4452-8f4d-d53575343e98
8,Silver,84.5930,XAG,2026-03-08 18:59:33+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
9,Gold,5174.0000,XAU,2026-03-08 18:59:33+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
10,Bitcoin,66875.4766,BTC,2026-03-08 18:59:34+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
11,Ethereum,1931.8700,ETH,2026-03-08 18:59:35+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
12,Palladium,1651.0000,XPD,2026-03-08 18:59:35+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
13,Copper,5.7961,HG,2026-03-08 18:59:36+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
14,Platinum,2155.0000,XPT,2026-03-08 18:59:37+00,a few seconds ago,2026-03-09 12:56:32.787924+00,831917da-f475-498c-afcb-f12dabbda379
15,Silver,77.4660,XAG,2026-02-06 21:25:38+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
16,Gold,4951.2002,XAU,2026-02-06 21:25:38+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
17,Bitcoin,70229.2266,BTC,2026-02-06 21:25:39+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
18,Ethereum,2053.2900,ETH,2026-02-06 21:25:40+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
19,Palladium,1724.0000,XPD,2026-02-06 21:25:40+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
20,Copper,5.9276,HG,2026-02-06 21:25:41+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
21,Platinum,2109.0000,XPT,2026-02-06 21:25:42+00,a few seconds ago,2026-03-09 12:56:32.792517+00,9a1a9928-728e-4ce4-a822-50dff804130b
22,Silver,82.3640,XAG,2026-02-09 06:01:39+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
23,Gold,5041.7998,XAU,2026-02-09 06:01:40+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
24,Bitcoin,70904.1172,BTC,2026-02-09 06:01:41+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
25,Ethereum,2092.5601,ETH,2026-02-09 06:01:41+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
26,Palladium,1755.0000,XPD,2026-02-09 06:01:42+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
27,Copper,5.8321,HG,2026-02-09 06:01:43+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
28,Platinum,2113.0000,XPT,2026-02-09 06:01:44+00,a few seconds ago,2026-03-09 12:56:32.796705+00,983d8b0a-1260-42d4-be8e-8ddb125f3b13
29,Silver,84.1930,XAG,2026-02-11 21:47:42+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
30,Gold,5079.7002,XAU,2026-02-11 21:47:43+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
31,Bitcoin,67933.1328,BTC,2026-02-11 21:47:43+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
32,Ethereum,1974.7300,ETH,2026-02-11 21:47:45+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
33,Palladium,1736.0000,XPD,2026-02-11 21:47:45+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
34,Copper,6.0403,HG,2026-02-11 21:47:46+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
35,Platinum,2140.0000,XPT,2026-02-11 21:47:47+00,a few seconds ago,2026-03-09 12:56:32.800628+00,33b2ecb3-2b65-4917-b7e2-41125ffe001b
36,Silver,78.4530,XAG,2026-02-19 21:12:36+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
37,Gold,4999.7002,XAU,2026-02-19 21:12:37+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
38,Bitcoin,67094.7813,BTC,2026-02-19 21:12:38+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
39,Ethereum,1949.9500,ETH,2026-02-19 21:12:39+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
40,Palladium,1704.0000,XPD,2026-02-19 21:12:39+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
41,Copper,5.7175,HG,2026-02-19 21:12:40+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
42,Platinum,2079.0000,XPT,2026-02-19 21:12:40+00,a few seconds ago,2026-03-09 12:56:32.80439+00,e7920fbb-7fde-4721-aa5f-bbff883fdff8
43,Silver,89.8940,XAG,2026-02-25 20:35:42+00,a few seconds ago,2026-03-09 12:56:32.808382+00,4135d668-e394-429a-aa93-f0005729f3cf
44,Gold,5188.7002,XAU,2026-02-25 20:35:42+00,a few seconds ago,2026-03-09 12:56:32.808382+00,4135d668-e394-429a-aa93-f0005729f3cf
45,Bitcoin,68829.1328,BTC,2026-02-25 20:35:43+00,a few seconds ago,2026-03-09 12:56:32.808382+00,4135d668-e394-429a-aa93-f0005729f3cf
46,Ethereum,2064.3799,ETH,2026-02-25 20:35:44+00,a few seconds ago,2026-03-09 12:56:32.808382+00,4135d668-e394-429a-aa93-f0005729f3cf
